x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13
11,83;0,85;5,36;-0,62;0,27;0,07;1,66;-1,31;-0,61;3,14;-1,55;-3,35;1,22
11,2;5,06;0,38;-1,78;2,86;2,62;5,57;-3,11;4,28;2,81;-4,67;-2,46;1,04
11,29;-1,53;2,27;-0,81;-5,56;0,52;-3,18;4,05;1,78;-4,97;-6,3;3,04;0,47
-1,89;1,82;0,6;0,64;7,88;4,32;1,76;2,96;3,33;2,36;-5,3;-2,46;1,07
4,06;-0,46;0,29;-0,01;5,12;0,7;5,14;2,95;1,06;-4,32;-0,52;0,81;0,7
11,2;-0,03;-4,26;-1,17;-2;3,71;4,09;0,97;3,74;1,08;2,79;3,47;1,65
9,76;1,35;0,19;-3,97;4,62;0,62;10,8;1,4;3,59;-2,02;-4,13;0,34;1,76
5,45;1,56;-2,06;4,3;4,73;0,38;-0,42;4,14;0,24;-4,8;-3,56;1,85;0,46
4,11;1,26;-0,41;7,08;6,05;6,58;-2,87;0,01;-1,79;5,23;-3,07;-1,7;1,44
5,58;0,48;-4,02;2,22;1,8;3,21;1,15;3,71;0,66;1;1;-0,61;1,22
0,89;-0,33;1,98;2,28;5,09;1,47;-0,41;0,27;0,42;-2,37;-2,29;1,77;0,97
1,78;3,51;-0,61;8,19;2,87;3,73;1,74;-1,46;5,8;2,54;-3,65;-1,04;1,62
13,1;-0,83;6,39;2,07;1,41;-2,45;3,85;4,66;1,66;-1,57;3,59;-5,54;2,61
5,14;0,57;5,04;-0,77;6;0,19;4,05;0,49;2,46;1,11;0,84;-1,64;1,59
5,68;4,22;2,14;-8,91;0,92;-0,35;6,57;0,8;1,63;-3,81;-2,36;-3,46;0,75
0,57;-2,7;4,48;-1,87;1,58;-0,04;1,41;3,38;1,9;-1,58;-3,63;1,24;0,7
3,27;0;5,17;4,55;2,33;1,02;-0,15;1,81;2,17;-4,01;-0,29;-1,13;1,25
-2,09;2,9;1,07;-0,7;6,17;5,46;3,01;3,14;2,15;5,07;-2,85;-6,91;1,3
2,44;-3,04;0,52;2,21;-4,71;2,66;5,25;1,13;1,94;-0,23;-0,86;4,9;1,7
-2,57;0,21;1,73;5,24;1,68;3,19;1,77;1,45;2,84;2,64;0,56;-1,86;1,16
2,29;-0,6;2,04;-1,88;5,04;1,65;3,31;2,8;0,42;-4,85;-9,76;2,45;0
2,25;-1,49;2,49;-3,22;6,64;2,11;3,05;2,48;-0,01;-2,11;5,55;1,6;1,76
11,06;0,37;0,63;3,56;-0,16;2,86;2,35;-0,56;1,28;1,99;8,96;0,81;2,78
7,99;-2,15;-0,25;3,2;3,2;4,75;-1,66;6,94;1,1;0,18;-0,9;1,27;2,16
4,5;-0,25;2,28;2,03;0,15;2,37;3,57;0,62;1,75;0,89;1,68;0,17;1,56
-0,44;-1,49;2,47;3,03;3,74;0,81;0,44;0,05;0,59;3,76;1,69;-0,52;1,19
3,94;-0,87;2,56;-2,4;2,06;2,52;1,82;3,44;-1,53;-4,05;-8,19;0,49;0,11
9,5;-1,27;2,77;-0,31;-3,85;1,62;2,08;-1,1;0,02;-1,78;-6,35;2,76;0,38
0,25;2,27;4,57;4,38;5,68;0,79;-3,97;-3,88;-2,58;2,51;-3,92;-2,94;0,42
1,38;1,06;-0,25;0,53;0,31;3,48;5,43;1,76;1,85;5,25;10,03;-0,7;2,53
7,55;-0,74;5,32;-3,76;-0,56;2,19;6,59;0,85;4,25;-2,34;6,63;-1,24;2,13
6,95;-0,91;3,02;1,38;4,46;0,98;0,61;3,56;2,41;0,33;-2,35;-1,21;1,35
4,25;-1,04;-0,86;0,56;5,7;0,84;-2,34;2,72;-0,7;-1,91;-6,62;0,8;-0,42
8,26;0,83;1,95;0,11;4,51;1,24;2,06;2,68;-0,74;1,83;6,2;-2,93;1,6
1,05;-2,7;2,15;5,1;0,66;1,65;-1,37;5,93;-0,66;-2,22;-0,37;2,52;0,8
3,9;-3,53;-0,47;0,46;0,59;2,85;0,01;6,06;2,07;-4,64;6,09;3,33;1,58
-0,99;-1,21;4,58;-0,4;4,34;-0,39;5,9;3,42;2,19;-3,26;-0,32;0,76;1,51
2,87;-0,68;0,96;-4,46;9,52;2,57;1,48;3,41;1,88;-1,75;1;0,43;1,46
4,98;-1,2;0,92;-1,09;-5,14;0,41;7,77;5,58;3,6;-5,25;2,62;2,04;1,38
1,95;1,68;0,26;-0,75;4,79;3,53;1,96;1,29;-0,09;0,23;1,49;0,5;0,94
9,53;1,18;4,78;2,29;-1,86;0,98;0,93;-0,75;5,34;-2,84;2,05;0,8;1,84
12,74;5,02;-2,11;-1,41;3,42;4,13;3,53;-3,9;0,19;5,26;-7,17;-0,67;0,78
4,95;2,31;-0,44;4,15;8;0,46;0,67;1,99;1,78;0,24;-3,83;-4,2;0,85
4,14;1,93;1,27;-0,84;5,09;2,73;1,41;-1,98;-0,53;-5,05;5,84;0,51;1,26
-1,76;0,99;-2,2;-0,09;0,92;3,79;3,51;4,61;2,3;-1,33;-3,75;0,55;0,96
-0,95;0,95;0,31;0,21;-0,42;2,73;4,79;0,86;3,14;-0,79;-2,57;0,78;1,56
10,96;-2,08;0,8;5,53;-1,47;3,62;0,02;3,04;1,64;-6,19;-0,27;4,02;1,48
12,6;-1,2;-3,6;2,33;-2,79;4,14;0,93;6,88;0,77;3,75;-1,31;-0,59;1,42
11,17;-3,05;2,72;-2,04;-1,56;1,14;6,02;1,29;2,1;1,73;-1,06;0,18;1,19
7,71;0,16;4,04;4,27;-0,42;2,95;3,17;-0,91;2,46;6,27;-5,11;-2,53;1,87
4,41;0,24;-1,25;7,6;0,87;0,6;2,4;5,12;2,17;-2,16;1,8;0,36;1,58
3,14;2,29;2,72;0,54;-0,82;1,53;0,54;-2,9;1,91;0,58;7,63;-0,42;1,49
13,26;2,14;2,3;8,05;-0,6;0,26;-1,26;1,03;1,07;1,75;4,63;-3,13;1,91
5,24;2,26;-1,56;2,43;9,39;2,49;2,41;2,51;1,35;0,72;-3,2;1,31;1,59
6,43;-0,86;8,08;-0,02;3,38;-0,72;-3,26;1,41;-1,63;-8,38;-5,53;1,22;0,02
4,23;-1,72;0,39;2;2,71;0,84;2,56;3,69;1,98;-4,33;5,27;3,68;1,29
4,33;0,47;-1,85;3,7;-2,02;2,96;-3,84;0,14;0,38;-3;1,12;3,74;1,03
2,4;1,96;-1,61;-0,28;3,79;3,23;14,71;1,93;4,74;0,2;2,36;0,07;2,17
6,11;-3,62;1,93;0,21;0,33;1,52;4,58;2,32;3,07;-3,13;-9,72;4,82;0,03
14,33;-1,12;2,16;5,99;-6,46;3,97;-5,84;4,01;1,81;1,97;1,51;-0,78;1,94
0,37;1,7;8,12;1,37;1,75;0,04;5,18;-2,36;2,21;6,27;-6,56;-5,37;1,06
7,42;-0,81;6,37;-4,37;0,53;2,11;1,85;0,16;4,05;-0,5;4,77;-2,44;1,83
5,58;-1,65;2,28;4,13;0,87;1,5;1,03;3,28;3,89;1,19;4,32;0,48;2,31
6,8;-1,68;0,43;4,76;5,23;1,55;1,16;3,5;3,58;-4,75;4,01;3,66;1,55
1,21;-0,83;1,33;-1,59;-1,56;2,55;-0,06;2,64;2,03;-1,43;7,22;2,06;1,3
2,62;-0,92;3,29;0,9;2,85;2,93;3,27;2,2;2,02;2,41;1,25;-1,9;1,73
7,36;-0,75;5,76;0,26;3,63;-0,68;0,5;4,61;2,55;4,56;0,53;-3,85;1,56
6,63;-0,51;1,47;0,26;3,15;0,42;3,59;2,83;2,49;-0,09;2,82;-0,24;1,51
7,67;-0,64;4,41;4,47;0,94;-0,69;-3,1;0,49;0,49;0,42;1,83;-1,2;1,07
14,15;-0,99;0,36;-1,01;-6,71;2,48;1,81;1,57;2,88;-0,35;7,53;3,16;2,23
11,45;-2,03;1,57;1,32;-1,13;3,29;1,15;1,92;1,07;0,02;-1,61;2,75;1,44
6,23;-0,28;4,76;4,93;-0,28;2,12;3,36;1,57;3,84;-4,79;1,6;-0,6;1,79
1,96;2,32;-2,21;5,65;6,83;5,48;6,43;1,52;2,54;0,53;-3,6;-1,97;1,51
2,76;2,47;-3,58;3,99;2,84;4,27;2,18;2,3;0,02;2,94;-8,14;-1,37;0,79
6,75;0,55;3,32;9,3;4,39;-0,14;-0,72;1,38;0,5;-7,05;-4,37;1,11;0,95
10,35;1,67;1,68;3,47;0,16;2,12;0,15;0,64;2,39;-3,86;4,56;2,48;2,06
18,52;2,07;2,9;3,68;-2,25;1,41;-0,85;-2,53;1,34;0,78;11,2;-1,79;1,9
4,84;1,08;-2,66;2,23;2,4;4,02;0,79;2;0,75;2,12;-7,12;0,39;1,11
7,49;-0,88;1,06;-1,6;8,87;5,4;4,73;4,38;2,77;-1,68;-11,3;0,83;1,02
3,86;5,45;4,29;4,85;1,27;0,17;-0,66;-0,84;2,38;-0,85;-0,22;-5,98;1,02
4,43;0,32;2,94;1,49;8,14;2,81;1,31;-0,56;1,47;-4,1;-0,2;2,32;1,66
